2026-04-28 13:19:34,815 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:19:34,819 | INFO     | kafka.conn                     | Probing node bootstrap-0 broker version
2026-04-28 13:19:34,821 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:19:34,926 | INFO     | kafka.conn                     | Broker version identified as 2.6.0
2026-04-28 13:19:34,927 | INFO     | kafka.conn                     | Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-04-28 13:19:34,928 | INFO     | kafka.conn                     | Probing node bootstrap-0 broker version
2026-04-28 13:19:35,032 | INFO     | kafka.conn                     | Broker version identified as 2.6.0
2026-04-28 13:19:35,032 | INFO     | kafka.conn                     | Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-04-28 13:19:35,038 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:19:35,038 | INFO     | kafka.conn                     | Probing node 1 broker version
2026-04-28 13:19:35,040 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:19:35,040 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-04-28 13:19:35,144 | INFO     | kafka.conn                     | Broker version identified as 2.6.0
2026-04-28 13:19:35,144 | INFO     | kafka.conn                     | Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-04-28 13:19:35,147 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
